Date,Sales
2010-04-02,50404017.94
2010-04-09,47359622.52
2010-04-16,45180370.97
2010-04-23,44731875.89
2010-04-30,43703928.08
2010-05-07,48497251.35
2010-05-14,45309879.48
2010-05-21,45117865.19
2010-05-28,47755290.44
2010-06-04,50185459.46
2010-06-11,47824979.58
2010-06-18,47620481.0
2010-06-25,46607848.0
2010-07-02,48910616.7
2010-07-09,47864684.01
2010-07-16,46211021.33
2010-07-23,44855499.66
2010-07-30,44599535.73
2010-08-06,48171705.67
2010-08-13,46434348.44
2010-08-20,47032583.2
2010-08-27,45909694.48
2010-09-03,47193733.6
2010-09-10,45633847.71
2010-09-17,43080982.27
2010-09-24,41357778.73
2010-10-01,42238149.25
2010-10-08,45107900.54
2010-10-15,43146770.24
2010-10-22,43062233.55
2010-10-29,43600740.35
2010-11-05,45773038.52
2010-11-12,46122092.69
2010-11-19,45123730.54
2010-11-26,65815348.91
2010-12-03,49906061.86
2010-12-10,55666392.33
2010-12-17,61818379.68
2010-12-24,80930124.46
2010-12-31,40434451.75
2011-01-07,42775802.56
2011-01-14,40672316.63
2011-01-21,40654347.9
2011-01-28,39600253.43
2011-02-04,46153330.1
2011-02-11,47335264.93
2011-02-18,48715580.41
2011-02-25,44125264.98
2011-03-04,46971216.86
2011-03-11,44625257.71
2011-03-18,44869505.86
2011-03-25,42876531.91
2011-04-01,43456998.46
2011-04-08,45886779.74
2011-04-15,44972161.5
2011-04-22,48676082.55
2011-04-29,43529923.03
2011-05-06,46860758.62
2011-05-13,45445274.62
2011-05-20,44046575.62
2011-05-27,45293288.46
2011-06-03,48771787.42
2011-06-10,47669879.97
2011-06-17,47445608.07
2011-06-24,45884849.97
2011-07-01,47579891.48
2011-07-08,47858388.7
2011-07-15,45514805.12
2011-07-22,45271646.35
2011-07-29,43682760.11
2011-08-05,48015068.84
2011-08-12,46248644.72
2011-08-19,46907242.38
2011-08-26,47415433.12
2011-09-02,45379707.15
2011-09-09,46762926.21
2011-09-16,43791572.46
2011-09-23,42716588.51
2011-09-30,42195354.05
2011-10-07,47209025.1
2011-10-14,44373126.59
2011-10-21,45817347.81
2011-10-28,45854385.57
2011-11-04,48653223.48
2011-11-11,48473000.5
2011-11-18,46437472.52
2011-11-25,66564398.91
2011-12-02,49383581.03
2011-12-09,55558278.91
2011-12-16,60082888.06
2011-12-23,76993629.96
2011-12-30,46042980.61
2012-01-06,44955127.22
2012-01-13,42022218.62
2012-01-20,42081218.45
2012-01-27,39834255.45
2012-02-03,46084911.59
2012-02-10,50007836.88
2012-02-17,50194998.85
2012-02-24,45770878.84
2012-03-02,46860486.37
2012-03-09,47481751.15
2012-03-16,46901133.58
2012-03-23,44993860.12
2012-03-30,45272573.4
2012-04-06,53502219.45
2012-04-13,46629095.82
2012-04-20,45072099.57
2012-04-27,43717170.82
2012-05-04,47124248.09
2012-05-11,46926358.03
2012-05-18,46823954.16
2012-05-25,47892922.84
2012-06-01,48281952.24
2012-06-08,49651278.33
2012-06-15,48412492.57
2012-06-22,47668268.77
2012-06-29,46597263.37
2012-07-06,51253527.49
2012-07-13,46100368.46
2012-07-20,46059554.37
2012-07-27,44097319.01
2012-08-03,47485840.17
2012-08-10,47403786.3
2012-08-17,47355380.73
2012-08-24,47449366.57
2012-08-31,47159902.02
2012-09-07,48330422.58
2012-09-14,44226839.23
2012-09-21,44354498.31
2012-09-28,43735671.8
2012-10-05,47566995.06
2012-10-12,46128687.19
2012-10-19,45122431.05
2012-10-26,45544361.56
